epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.4241,0.48048,3.27554,1.14191,1,0.82201,0.98671,0.95619,0.24355,51.7023,0.49188,0.00058,0.00058,0.00058
2,26.5006,0.27826,2.22423,0.97021,0.96699,0.97655,0.99387,0.9392,0.30915,41.8567,0.51877,0.00106318,0.00106318,0.00106318
3,38.6723,0.26578,1.5939,0.954,0.95813,0.98333,0.99437,0.95807,0.31923,30.1579,0.66476,0.00142756,0.00142756,0.00142756
4,50.7676,0.27873,1.31599,0.9785,0.81158,1,0.995,0.89835,0.27623,48.4991,0.56266,0.001406,0.001406,0.001406
5,62.8694,0.23882,1.07167,0.92314,0.99868,0.98333,0.99159,0.98627,0.22606,14.9433,0.45679,0.001208,0.001208,0.001208
6,75.0009,0.21923,1.01566,0.91722,0.90932,0.95,0.98494,0.50466,1.18865,18.9578,1.74851,0.00101,0.00101,0.00101
7,87.1689,0.17518,0.79513,0.88604,1,0.98996,0.995,0.89655,0.29899,12.154,0.44626,0.000812,0.000812,0.000812
8,99.2942,0.1499,0.71425,0.8741,0.99916,1,0.995,0.98539,0.20398,12.3722,0.46705,0.000614,0.000614,0.000614
9,111.449,0.13619,0.61429,0.87558,0.99895,1,0.995,0.995,0.1574,11.1796,0.43946,0.000416,0.000416,0.000416
10,123.602,0.11453,0.57437,0.85822,0.99904,1,0.995,0.995,0.12429,11.1954,0.40286,0.000218,0.000218,0.000218
