epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,251.139,0.2214,1.26191,0.94098,0.98833,0.63534,0.90989,0.86605,0.1897,10.5178,0.33894,0.000665556,0.000665556,0.000665556
2,492.456,0.16666,0.33225,0.87858,0.94699,0.29774,0.80642,0.69268,0.23229,3.48175,0.40767,0.00120033,0.00120033,0.00120033
3,732.648,0.14444,0.25518,0.86478,0.98505,0.98083,0.99408,0.95053,0.22637,0.89866,0.34009,0.00160311,0.00160311,0.00160311
4,973.304,0.1228,0.19206,0.85796,0.99082,0.98966,0.99481,0.9948,0.09647,0.51557,0.25976,0.001406,0.001406,0.001406
5,1221.41,0.09792,0.14924,0.84631,0.94061,0.9975,0.97028,0.94012,0.10835,16.1327,0.2576,0.001208,0.001208,0.001208
6,1466.45,0.0864,0.12362,0.8418,0.98439,0.99583,0.99185,0.99185,0.08852,4.69211,0.23449,0.00101,0.00101,0.00101
7,1709.38,0.07188,0.10916,0.8357,0.99242,0.99917,0.99498,0.99493,0.11741,1.65076,0.25116,0.000812,0.000812,0.000812
8,1951.13,0.0634,0.0918,0.83639,0.99216,0.9975,0.99483,0.99483,0.08728,2.4044,0.22585,0.000614,0.000614,0.000614
9,2195.41,0.05052,0.07985,0.83166,0.99393,1,0.99481,0.99481,0.09436,1.37545,0.23714,0.000416,0.000416,0.000416
10,2436.66,0.03908,0.06177,0.83338,0.99607,0.99833,0.99482,0.99482,0.08851,0.94241,0.23202,0.000218,0.000218,0.000218
